evil,邪悪な・有害な,"He was said to be possessed by an evil spirit.","彼は悪霊に取りつかれていると言われました。"
extinct,絶滅した・廃止された,"Many animals have become extinct because of human activity.","多くの動物が人間の活動によって絶滅しました。"
random,無作為の・手当たり次第の,"The teacher chose a student at random.","先生は生徒を無作為に一人選びました。"
raw,生の・未加工の,"Wood is an important raw material for making paper.","木材は紙を作るための重要な原料です。"
rude,無礼な,"It is rude of Tom to interrupt others.","人の話をさえぎるとは、トムは失礼です。"
mere,単なる・ほんの,"It was merely a misunderstanding.","それは単なる誤解でした。"
tropical,熱帯の,"We visited a tropical rain forest during our trip.","旅行中に熱帯雨林を訪れました。"
forth,前へ・先へ・それ以降,"The boat moved back and forth on the waves.","そのボートは波の上を行ったり来たりしました。"
commit,委ねる・犯す・約束する,"She committed herself to studying every day.","彼女は毎日勉強することを決意しました。"
stimulate,刺激する・活性化する,"The new teacher stimulated the students' interest in science.","新しい先生は生徒たちの科学への興味を刺激しました。"
enhance,高める・向上させる,"Regular exercise enhances your health.","定期的な運動は健康を向上させます。"
pursue,追い求める・追跡する,"He decided to pursue his dream of becoming a doctor.","彼は医者になる夢を追い求めることを決意しました。"
react,反応する,"People react differently to stress.","人はストレスに対してさまざまに反応します。"
disagree,意見が合わない・反対する,"I disagree with your opinion.","私はあなたの意見に反対です。"
stare,じっと見つめる,"Don't stare at people.","人をじろじろ見てはいけません。"
abandon,捨てる・断念する,"They had to abandon the plan because of the rain.","雨のため彼らはその計画を断念しなければなりませんでした。"
quit,やめる・辞める,"He quit his job last year.","彼は昨年仕事を辞めました。"
capture,捕らえる・獲得する,"The police captured the thief.","警察はその泥棒を捕まえました。"
transfer,移す・移動する,"She transferred the files to a USB drive.","彼女はファイルをUSBメモリーに移しました。"
bother,困らせる・気にする,"Sorry to bother you.","お邪魔してすみません。"
persuade,説得する,"She persuaded her friend to join the club.","彼女は友人を説得してクラブに入らせました。"
rent,借りる・貸す,"We rented a car for our trip.","私たちは旅行のために車を借りました。"
breed,繁殖する・育てる,"Many farmers breed cattle.","多くの農家が牛を飼育しています。"
invest,投資する,"He invested his money in stocks.","彼は株に投資しました。"
reserve,予約する・取っておく,"I'd like to reserve a table for two.","2人分の席を予約したいです。"
trace,たどる・追跡する,"The police traced the phone call.","警察はその電話を追跡しました。"
illustrate,説明する・図解する,"The teacher illustrated the idea with pictures.","先生は絵を使ってその考えを説明しました。"
advise,助言する,"I advise you to get some rest.","少し休むことを勧めます。"
convey,伝える・運ぶ,"Words cannot convey my feelings.","言葉では私の気持ちを伝えられません。"
attach,取り付ける・添付する,"Please attach the file to your email.","メールにそのファイルを添付してください。"
stretch,伸ばす・広がる,"She stretched her arms after studying.","彼女は勉強の後で腕を伸ばしました。"
puzzle,困惑させる,"The question puzzled everyone.","その質問はみんなを困惑させました。"
disturb,邪魔する・乱す,"Sorry to disturb you while you are working.","仕事中にお邪魔してすみません。"
crash,衝突する・墜落する,"The car crashed into a tree.","その車は木に衝突しました。"
cope,対処する,"She can cope with difficult situations.","彼女は困難な状況に対処できます。"
permit,許可する,"Smoking is not permitted here.","ここでは喫煙は許可されていません。"
impress,感動させる・印象づける,"His speech impressed the audience.","彼のスピーチは聴衆に感銘を与えました。"
suspect,疑う・容疑者,"The police suspected him of theft.","警察は彼を窃盗の疑いで疑いました。"
upset,動揺させる・動揺した,"The bad news upset her.","その悪い知らせは彼女を動揺させました。"
frighten,怖がらせる,"The loud noise frightened the child.","大きな音がその子どもを怖がらせました。"
import,輸入する,"Japan imports a lot of food.","日本は多くの食料を輸入しています。"
export,輸出する,"This company exports cars worldwide.","この会社は世界中に車を輸出しています。"
investigate,調査する,"The police are investigating the accident.","警察はその事故を調査しています。"
monitor,監視する・観察する,"Doctors monitored the patient's condition.","医師たちは患者の容体を監視しました。"
calculate,計算する,"Can you calculate the total cost?","合計金額を計算できますか。"
eliminate,取り除く・排除する,"We need to eliminate unnecessary costs.","不要な費用を削減する必要があります。"
ease,和らげる・軽減する,"This medicine will ease your pain.","この薬はあなたの痛みを和らげます。"
launch,開始する・打ち上げる,"The company launched a new product.","その会社は新製品を発売しました。"
sequence,順序・連続,"Put the pictures in the correct sequence.","写真を正しい順番に並べてください。"
therapy,治療・療法,"She is receiving therapy for her injury.","彼女はけがの治療を受けています。"
symptom,症状,"A high fever is a common symptom of the disease.","高熱はその病気の一般的な症状です。"
incident,出来事・事件,"The incident happened late at night.","その事件は夜遅くに起こりました。"
witness,目撃者・証人,"The police interviewed a witness to the accident.","警察はその事故の目撃者に話を聞きました。"
firm,会社・企業,"She works for a large IT firm.","彼女は大手IT企業で働いています。"
burden,重荷・負担,"The extra work became a burden for him.","追加の仕事は彼にとって負担になりました。"
tone,口調・音色,"Her tone of voice sounded angry.","彼女の口調は怒っているように聞こえました。"
honor,光栄・名誉,"It is an honor to meet you.","あなたにお会いできて光栄です。"
award,賞,"She won an award for her research.","彼女は研究で賞を受賞しました。"
priority,優先事項,"Safety should be our top priority.","安全は私たちの最優先事項であるべきです。"
logic,論理・理屈,"Your logic makes sense to me.","あなたの理屈は私には納得できます。"
minimum,最小限の,"You need a minimum of three people.","少なくとも3人必要です。"
exception,例外,"Everyone came except Tom. He was the only exception.","トム以外は全員来ました。彼だけが例外でした。"
clue,手がかり,"The police found an important clue.","警察は重要な手がかりを見つけました。"
bond,絆,"The trip strengthened our bond.","その旅行は私たちの絆を深めました。"
virus,ウイルス,"The virus spread quickly.","そのウイルスは急速に広がりました。"
surgery,手術,"She had surgery on her knee.","彼女はひざの手術を受けました。"
insurance,保険,"Do you have health insurance?","健康保険に入っていますか。"
frame,枠・骨組み,"The picture has a wooden frame.","その絵には木製の額縁があります。"
shelter,避難所・保護施設,"The children stayed in a shelter.","子どもたちは避難所で過ごしました。"
territory,領土・なわ張り,"The wolves protected their territory.","オオカミは自分たちのなわ張りを守りました。"
boundary,境界（線）,"The river forms the boundary between the two towns.","その川は2つの町の境界になっています。"
habitat,生息地,"The forest is the natural habitat of many animals.","その森は多くの動物の自然な生息地です。"
district,地区・行政区,"He lives in the business district.","彼は商業地区に住んでいます。"
conservation,保護・保存,"Wildlife conservation is important.","野生生物の保護は重要です。"
harvest,収穫・収穫する,"The rice harvest was very good this year.","今年の米の収穫はとても良かったです。"
predator,捕食動物,"The lion is a powerful predator.","ライオンは強力な捕食動物です。"
trap,わな,"The animal was caught in a trap.","その動物はわなにかかりました。"
trick,コツ・いたずら,"Can you teach me the trick to solving this problem?","この問題を解くコツを教えてくれますか。"
fault,責任・欠点,"It was my fault.","それは私の責任でした。"
discount,割引,"Students can get a discount.","学生は割引を受けられます。"
bias,偏見,"We should avoid bias when judging others.","他人を判断するときは偏見を避けるべきです。"
cooperation,協力・共同,"Thank you for your cooperation.","ご協力ありがとうございます。"
patent,特許,"The company applied for a patent.","その会社は特許を申請しました。"
dialogue,対話,"Dialogue is important for solving problems.","問題を解決するには対話が重要です。"
component,構成要素,"Water is an important component of our bodies.","水は私たちの体の重要な構成要素です。"
reputation,評判,"The restaurant has a good reputation.","そのレストランは評判が良いです。"
verbal,言葉による,"They reached a verbal agreement.","彼らは口頭で合意しました。"
internal,内部の,"The company made internal changes.","その会社は内部改革を行いました。"
solid,しっかりした・固体の,"The bridge has a solid structure.","その橋はしっかりした構造をしています。"
remote,遠く離れた,"He lives in a remote village.","彼は遠く離れた村に住んでいます。"
principal,主要な,"The principal reason is the cost.","主な理由は費用です。"
sophisticated,高度な・洗練された,"This smartphone has sophisticated technology.","このスマートフォンには高度な技術が使われています。"
equivalent,等しい・相当する,"One dollar is equivalent to about 150 yen.","1ドルは約150円に相当します。"
rational,理性的な,"She made a rational decision.","彼女は理性的な判断をしました。"
relevant,関係がある,"His experience is relevant to this job.","彼の経験はこの仕事に関係があります。"
absolute,絶対的な,"There is no absolute answer.","絶対的な答えはありません。"
frequent,頻繁な,"Frequent practice will improve your skills.","頻繁な練習はあなたの技能を向上させます。"
permanent,永続的な,"Nothing is permanent.","永遠に続くものはありません。"
intense,強烈な,"He felt intense pain.","彼は激しい痛みを感じました。"
meaningful,意味のある,"We had a meaningful discussion.","私たちは意味のある話し合いをしました。"
evil,邪悪な・有害な,"War is sometimes called a necessary evil.","戦争は時に必要悪と呼ばれます。"
extinct,絶滅した・廃止された,"Many species have become extinct.","多くの種が絶滅しました。"
random,無作為の・手当たり次第の,"The winners were chosen at random.","当選者は無作為に選ばれました。"
raw,生の・未加工の,"Oil is an important raw material for plastics.","石油はプラスチックの重要な原料です。"
rude,無礼な,"It is rude of you to interrupt others.","人の話をさえぎるとは、あなたは失礼です。"
mere,単なる・ほんの,"It was a mere accident.","それは単なる事故でした。"
tropical,熱帯の,"We explored a tropical rain forest.","私たちは熱帯雨林を探検しました。"
forth,前へ・先へ・それ以降,"The children ran back and forth in the park.","子どもたちは公園を行ったり来たりしました。"
witness,目撃者・証人,"The police questioned a witness to the accident.","警察は事故の目撃者に事情を聞きました。"
firm,会社・企業,"She works for an international firm.","彼女は国際的な企業で働いています。"
burden,重荷・負担,"The high cost became a burden for the family.","高い費用はその家族の負担になりました。"
tone,口調・音色,"His tone of voice sounded friendly.","彼の口調は親しみやすく聞こえました。"
honor,光栄・名誉,"It was an honor to meet the famous scientist.","その有名な科学者に会えて光栄でした。"
award,賞,"She received an award for her excellent work.","彼女は優れた仕事で賞を受賞しました。"
priority,優先事項,"Safety is our top priority.","安全が私たちの最優先事項です。"
logic,論理・理屈,"I couldn't understand his logic.","私は彼の理屈が理解できませんでした。"
minimum,最小限の,"You need a minimum of five people.","少なくとも5人必要です。"
exception,例外,"There is no rule without an exception.","例外のない規則はありません。"
clue,手がかり,"The detective found an important clue.","探偵は重要な手がかりを見つけました。"
bond,絆,"The experience strengthened our bond.","その経験は私たちの絆を深めました。"
virus,ウイルス,"The virus spread rapidly around the world.","そのウイルスは世界中に急速に広がりました。"
surgery,手術,"He had heart surgery last year.","彼は昨年心臓の手術を受けました。"
insurance,保険,"Do you have travel insurance?","旅行保険に入っていますか。"
frame,枠・骨組み,"The picture has a beautiful wooden frame.","その絵には美しい木製の額縁があります。"
shelter,避難所・保護施設,"The family stayed in a shelter after the earthquake.","その家族は地震の後、避難所で過ごしました。"
territory,領土・なわ張り,"The animals protect their territory.","その動物たちは自分たちのなわ張りを守ります。"
boundary,境界（線）,"The river forms the boundary between the two countries.","その川は2国の国境になっています。"
habitat,生息地,"The forest is the natural habitat of bears.","その森はクマの自然な生息地です。"
