mode,方式・形態,"Please switch your phone to airplane mode.","スマートフォンを機内モードに切り替えてください。"
span,〜に及ぶ・わたる,"The bridge spans the river.","その橋は川に架かっています。"
gravity,重力,"Gravity keeps us on the ground.","重力のおかげで私たちは地面に立っています。"
orbit,軌道,"The satellite is now in orbit around Earth.","その人工衛星は現在地球の軌道上にあります。"
asteroid,小惑星,"Scientists discovered a new asteroid.","科学者たちは新しい小惑星を発見しました。"
core,中心・核心,"Trust is at the core of friendship.","信頼は友情の核心です。"
soul,魂・精神,"She has a kind soul.","彼女は優しい心の持ち主です。"
rescue,〜を救助する,"The firefighters rescued the child.","消防士たちはその子どもを救助しました。"
resolve,〜を解決する・決意する,"We must resolve this problem quickly.","私たちはこの問題を早く解決しなければなりません。"
register,登録する,"You need to register before using the service.","そのサービスを利用する前に登録する必要があります。"
interrupt,〜を中断する・邪魔する,"Sorry to interrupt your meeting.","会議を中断して申し訳ありません。"
rid,〜を取り除く,"We need to rid the room of dust.","部屋のほこりを取り除く必要があります。"
prohibit,〜を禁止する,"The law prohibits smoking here.","法律でここでの喫煙は禁止されています。"
compose,〜を構成する・作曲する,"Ten players compose the team.","10人の選手がそのチームを構成しています。"
occupy,〜を占める,"The sofa occupies too much space.","そのソファは場所を取りすぎています。"
pop,飛び出す・急に現れる,"A rabbit popped out of the bush.","ウサギが茂みから飛び出しました。"
pile,積み重ねる・山,"Books were piled on the desk.","机の上には本が積み重ねられていました。"
greet,〜にあいさつする,"She greeted me with a smile.","彼女は笑顔で私にあいさつしました。"
apologize,謝る,"He apologized for being late.","彼は遅刻したことを謝りました。"
frustrate,〜をいら立たせる,"The delay frustrated everyone.","その遅れはみんなをいら立たせました。"
relieve,〜を和らげる・安心させる,"This medicine will relieve your pain.","この薬はあなたの痛みを和らげます。"
mall,ショッピングモール,"We spent the afternoon at the mall.","私たちは午後をショッピングモールで過ごしました。"
grocery,食料品,"She bought groceries for dinner.","彼女は夕食のための食料品を買いました。"
humor,ユーモア・ユーモアのセンス,"He has a great sense of humor.","彼は素晴らしいユーモアのセンスがあります。"
instinct,本能,"Animals rely on instinct to survive.","動物は生き延びるために本能に頼ります。"
faith,信頼・信仰,"I have faith in your ability.","私はあなたの能力を信じています。"
courage,勇気,"It took courage to tell the truth.","真実を話すには勇気が必要でした。"
defend,〜を守る・ دفاعする,"The soldiers defended the town.","兵士たちは町を守りました。"
embrace,〜を抱きしめる・受け入れる,"She embraced her friend warmly.","彼女は友人を温かく抱きしめました。"
modify,〜を修正する,"We need to modify the plan.","私たちはその計画を修正する必要があります。"
qualify,資格を得る・適任である,"She qualified for the final round.","彼女は決勝戦への出場資格を得ました。"
passion,情熱,"He has a passion for music.","彼は音楽に情熱を持っています。"
deserve,〜に値する,"You deserve a good rest.","あなたは十分に休む価値があります。"
peer,同年代の人・仲間,"She is respected by her peers.","彼女は仲間たちから尊敬されています。"
defeat,〜を打ち負かす,"Our team defeated the champions.","私たちのチームは優勝チームを破りました。"
convert,〜を変える・改宗させる,"They converted the old house into a café.","彼らは古い家をカフェに改装しました。"
wed,〜と結婚する,"They were wed in spring.","彼らは春に結婚しました。"
delight,大きな喜び・〜を喜ばせる,"The news delighted everyone.","その知らせはみんなを喜ばせました。"
boost,〜を高める・押し上げる,"Exercise can boost your energy.","運動は活力を高めることができます。"
endure,〜に耐える,"She endured the pain without complaining.","彼女は文句を言わずに痛みに耐えました。"
genuine,本物の・純粋な,"This is a genuine leather bag.","これは本物の革製バッグです。"
manual,手動の・手引書,"Please read the manual before using the machine.","機械を使う前に取扱説明書を読んでください。"
mechanical,機械の・機械的な,"He is good at mechanical repairs.","彼は機械の修理が得意です。"
instant,即時の・即席の,"I received an instant reply.","私はすぐに返事を受け取りました。"
spare,余分の・予備の,"Do you have a spare battery?","予備の電池を持っていますか。"
inevitable,避けられない,"Change is inevitable.","変化は避けられません。"
profound,重大な・深い,"His speech had a profound impact on us.","彼の演説は私たちに重大な影響を与えました。"
steady,一定の・安定した,"She made steady progress.","彼女は着実に進歩しました。"
mature,成熟した,"He is very mature for his age.","彼は年齢の割にとても成熟しています。"
luxury,贅沢・高級品,"They stayed in a luxury hotel.","彼らは高級ホテルに泊まりました。"
ritual,儀式,"The wedding ritual lasted for hours.","その結婚式の儀式は何時間も続きました。"
prefecture,県・府,"Kyoto is a famous prefecture in Japan.","京都府は日本で有名な府です。"
council,会議・議会,"The city council approved the plan.","市議会はその計画を承認しました。"
precious,貴重な・大切な,"Time is precious.","時間は貴重です。"
generous,気前のよい・寛大な,"She is always generous to others.","彼女はいつも他人に寛大です。"
casual,何気ない・形式ばらない,"He wore casual clothes to the party.","彼はパーティーにカジュアルな服装で行きました。"
optimistic,楽観的な,"She is optimistic about the future.","彼女は将来について楽観的です。"
rough,粗い・大まかな,"This is just a rough estimate.","これはあくまで大まかな見積もりです。"
remark,〜と述べる・意見,"He remarked that the plan was risky.","彼はその計画は危険だと述べました。"
pose,（危険などを）引き起こす・ポーズを取る,"Smoking can pose a serious health risk.","喫煙は深刻な健康被害を引き起こすことがあります。"
yield,〜をもたらす・屈する,"The farm yielded a good harvest.","その農場は豊かな収穫をもたらしました。"
exhibit,〜を示す・展示する,"The museum exhibits ancient pottery.","その博物館は古代の陶器を展示しています。"
architecture,建築・建築様式,"She studies architecture at university.","彼女は大学で建築を学んでいます。"
stem,茎,"The flower has a long stem.","その花は長い茎を持っています。"
illusion,錯覚・思い違い,"The magician created an amazing illusion.","その手品師は驚くべき錯覚を生み出しました。"
discrimination,差別,"Everyone should work to end discrimination.","誰もが差別をなくすために努力すべきです。"
shame,残念なこと・恥,"It's a shame that you can't come.","あなたが来られないなんて残念です。"
mount,〜に乗る・据え付ける,"He mounted his bicycle and rode away.","彼は自転車に乗って走り去りました。"
exceed,〜を超える,"The cost exceeded our expectations.","費用は私たちの予想を超えました。"
undergo,〜を経験する・受ける,"She underwent surgery last week.","彼女は先週手術を受けました。"
confront,〜に立ち向かう,"We must confront the problem directly.","私たちはその問題に正面から立ち向かわなければなりません。"
consult,〜に相談する・調べる,"You should consult your doctor.","医師に相談したほうがよいです。"
fulfil,〜を果たす・満たす,"He fulfilled his promise.","彼は約束を果たしました。"
bob,上下に動く・ひょこひょこ動く,"The boat bobbed on the waves.","そのボートは波の上で上下に揺れていました。"
entertain,〜を楽しませる,"The comedian entertained the audience.","そのコメディアンは観客を楽しませました。"
interfere,干渉する・妨げる,"Don't interfere with my work.","私の仕事の邪魔をしないでください。"
cultivate,〜を育てる・養う,"They cultivate rice in this area.","この地域では米を栽培しています。"
underlie,〜の根底にある,"Trust underlies every good relationship.","信頼はすべての良い人間関係の基盤です。"
anticipate,〜を予期する,"We anticipate heavy traffic tomorrow.","私たちは明日の交通渋滞を予想しています。"
justify,〜を正当化する,"Nothing can justify violence.","暴力を正当化できるものは何もありません。"
chase,〜を追いかける,"The dog chased the ball.","その犬はボールを追いかけました。"
sue,〜を訴える,"She sued the company for damages.","彼女は損害賠償を求めてその会社を訴えました。"
gaze,じっと見つめる,"He gazed at the stars.","彼は星空をじっと見つめました。"
slip,滑る・うっかり失敗する,"Be careful not to slip on the ice.","氷の上で滑らないように気を付けてください。"
load,〜を積む・荷物,"They loaded the truck with boxes.","彼らはトラックに箱を積み込みました。"
overwhelm,〜を圧倒する,"The amount of work overwhelmed her.","仕事の量に彼女は圧倒されました。"
wander,歩き回る・さまよう,"We wandered around the old town.","私たちは旧市街を歩き回りました。"
dimension,寸法・次元,"Please measure the dimensions of the room.","部屋の寸法を測ってください。"
neuron,神経細胞,"Neurons send signals throughout the body.","神経細胞は体中に信号を送ります。"
sensation,感覚・大評判,"She lost all sensation in her fingers.","彼女は指の感覚を失いました。"
chart,図表・グラフ,"The chart shows the sales results.","そのグラフは売上結果を示しています。"
geography,地理（学）,"Geography is my favorite subject.","地理は私の好きな教科です。"
panel,委員会・パネル,"A panel of experts discussed the issue.","専門家の委員会がその問題を議論しました。"
classify,〜を分類する,"Please classify these documents by date.","これらの書類を日付ごとに分類してください。"
submit,〜を提出する,"You must submit your report by Friday.","金曜日までにレポートを提出しなければなりません。"
pause,一時停止する・間,"He paused before answering.","彼は答える前に少し間を置きました。"
lean,寄りかかる・傾く,"She leaned against the wall.","彼女は壁にもたれかかりました。"
bump,ぶつかる・こぶ,"I bumped into an old friend.","私は昔の友人に偶然出会いました。"
fold,〜を折りたたむ,"Please fold the towel neatly.","タオルをきれいにたたんでください。"
substitute,〜の代わりをする・代用品,"Can I substitute butter with olive oil?","バターの代わりにオリーブオイルを使えますか。"
pronounce,〜を発音する,"Can you pronounce this word?","この単語を発音できますか。"
shrink,縮む・縮小する,"My sweater shrank after washing.","私のセーターは洗濯後に縮みました。"
restore,〜を回復させる・修復する,"The workers restored the old building.","作業員たちはその古い建物を修復しました。"
trigger,〜を引き起こす,"Stress can trigger headaches.","ストレスは頭痛を引き起こすことがあります。"
grab,〜をつかむ,"She grabbed my hand tightly.","彼女は私の手をしっかりつかみました。"
magnetic,磁気の・磁石の,"The Earth has a magnetic field.","地球には磁場があります。"
polar,極地の・極の,"Polar bears live in the Arctic.","ホッキョクグマは北極に住んでいます。"
fluent,流暢な,"She is fluent in English.","彼女は英語が流暢です。"
external,外部の,"The problem was caused by external factors.","その問題は外部の要因によって引き起こされました。"
passive,受動的な・消極的な,"He played a passive role in the discussion.","彼は議論で消極的な役割を果たしました。"
awful,ひどい・ものすごい,"The weather was awful yesterday.","昨日の天気はひどかったです。"
skeleton,骨格・骸骨,"Scientists found a dinosaur skeleton.","科学者たちは恐竜の骨格を発見しました。"
counterpart,相当する人・物,"I met my Japanese counterpart.","私は日本側の担当者に会いました。"
stroke,脳卒中・打つこと,"He recovered after a stroke.","彼は脳卒中の後に回復しました。"
pedestrian,歩行者,"Drivers must watch for pedestrians.","運転手は歩行者に注意しなければなりません。"
trail,小道・跡,"We followed the mountain trail.","私たちは山道をたどりました。"
ecology,生態学・自然環境,"She studies ecology at university.","彼女は大学で生態学を学んでいます。"
sibling,きょうだい,"She has two siblings.","彼女にはきょうだいが二人います。"
ratio,比率,"The ratio of men to women is equal.","男女の比率は同じです。"
vice,悪・悪習,"Greed is often considered a vice.","強欲はしばしば悪徳と見なされます。"
fate,運命・結末,"No one knows their fate.","誰も自分の運命はわかりません。"
tragedy,悲劇・悲劇的な出来事,"The accident was a terrible tragedy.","その事故は悲惨な出来事でした。"
scenario,筋書き・事態,"We discussed the worst-case scenario.","私たちは最悪の事態について話し合いました。"
allergy,アレルギー,"He has a peanut allergy.","彼はピーナッツアレルギーです。"
fake,偽の・見せかけの,"The watch turned out to be fake.","その腕時計は偽物だとわかりました。"
vulnerable,弱い・もろい,"Children are vulnerable to disease.","子どもは病気にかかりやすいです。"
urgent,緊急の,"This is an urgent message.","これは緊急の連絡です。"
spiritual,精神の・霊的な,"She is interested in spiritual growth.","彼女は精神的な成長に関心があります。"
modest,謙虚な・適度な,"He remained modest despite his success.","彼は成功しても謙虚でした。"
keen,熱心な・鋭敏な,"She is keen to learn new skills.","彼女は新しい技能を学ぶことに熱心です。"
ambition,熱望・野望,"His ambition is to become a doctor.","彼の夢は医者になることです。"
prominent,卓越した・目立つ,"She is a prominent scientist.","彼女は著名な科学者です。"
radical,急進的な・根本的な,"They proposed a radical change.","彼らは抜本的な改革を提案しました。"
prompt,即座の・迅速な,"Thank you for your prompt reply.","迅速なお返事をありがとうございます。"
informal,形式ばらない・略式の,"The meeting was informal.","その会議は形式ばらないものでした。"
mutual,相互の・共通の,"We have mutual respect.","私たちは互いに尊敬し合っています。"
antibiotic,抗生物質,"The doctor prescribed an antibiotic.","医師は抗生物質を処方しました。"
vaccine,ワクチン,"The vaccine helps prevent disease.","そのワクチンは病気の予防に役立ちます。"
metaphor,隠喩・比喩,"The poem is full of metaphors.","その詩には比喩が多く使われています。"
folk,人々・皆さん,"The festival attracted local folk.","その祭りには地元の人々が集まりました。"
fare,料金,"The bus fare has increased.","バス料金が値上がりしました。"
transition,移り変わり・過渡期,"The company is in a period of transition.","その会社は変革の過渡期にあります。"
maximum,最大限の,"The maximum speed is 80 km/h.","最高速度は時速80キロです。"
galaxy,銀河,"Our solar system is in the Milky Way galaxy.","私たちの太陽系は天の川銀河にあります。"
